Position,Team,Games Played,CornersFor,CornersForPG,CornersAgst,CornersAgstPG,Profile,seasons_rep
1,Man City,38,284,7.47,103,2.71,275.73,1718
2,Man United,38,220,5.79,175,4.61,125.71,1718
3,Tottenham,38,246,6.47,160,4.21,153.75,1718
4,Liverpool,38,230,6.05,126,3.32,182.54,1718
5,Chelsea,38,230,6.05,159,4.18,144.65,1718
6,Arsenal,38,223,5.87,179,4.71,124.58,1718
7,Burnley,38,167,4.39,240,6.32,69.58,1718
8,Everton,38,150,3.95,212,5.58,70.75,1718
9,Leicester,38,203,5.34,216,5.68,93.98,1718
10,Newcastle,38,167,4.39,223,5.87,74.89,1718
11,Crystal Palace,38,209,5.5,209,5.5,100,1718
12,Bournemouth,38,217,5.71,210,5.53,103.33,1718
13,West Ham,38,161,4.24,208,5.47,77.4,1718
14,Watford,38,184,4.84,198,5.21,92.93,1718
15,Brighton,38,163,4.29,228,6,71.49,1718
16,Huddersfield,38,165,4.34,209,5.5,78.95,1718
17,Southampton,38,227,5.97,201,5.29,112.94,1718
18,Swansea,38,150,3.95,195,5.13,76.92,1718
19,Stoke,38,136,3.58,281,7.39,48.4,1718
20,West Brom,38,176,4.63,176,4.63,100,1718
1,Chelsea,38,218,5.74,160,4.21,136.25,1617
2,Tottenham,38,273,7.18,136,3.58,200.74,1617
3,Man City,38,280,7.37,130,3.42,215.38,1617
4,Liverpool,38,249,6.55,133,3.5,187.22,1617
5,Arsenal,38,227,5.97,191,5.03,118.85,1617
6,Man United,38,217,5.71,148,3.89,146.62,1617
7,Everton,38,196,5.16,215,5.66,91.16,1617
8,Southampton,38,200,5.26,190,5,105.26,1617
9,Bournemouth,38,191,5.03,205,5.39,93.17,1617
10,West Brom,38,158,4.16,211,5.55,74.88,1617
11,West Ham,38,172,4.53,184,4.84,93.48,1617
12,Leicester,38,197,5.18,219,5.76,89.95,1617
13,Stoke,38,188,4.95,253,6.66,74.31,1617
14,Crystal Palace,38,202,5.32,223,5.87,90.58,1617
15,Swansea,38,196,5.16,186,4.89,105.38,1617
16,Burnley,38,149,3.92,263,6.92,56.65,1617
17,Watford,38,164,4.32,202,5.32,81.19,1617
