Position,Team,Played,FTotal,FPer Game,ATotal,APer Game,Profile,seasons_rep
1,Man City,38,106,2.79,27,0.71,392.59,17/18
2,Man United,38,68,1.79,28,0.74,242.86,17/18
3,Tottenham,38,74,1.95,36,0.95,205.56,17/18
4,Liverpool,38,84,2.21,38,1,221.05,17/18
5,Chelsea,38,62,1.63,38,1,163.16,17/18
6,Arsenal,38,74,1.95,51,1.34,145.1,17/18
7,Burnley,38,36,0.95,39,1.03,92.31,17/18
8,Everton,38,44,1.16,58,1.53,75.86,17/18
9,Leicester,38,56,1.47,60,1.58,93.33,17/18
10,Newcastle,38,39,1.03,47,1.24,82.98,17/18
11,Crystal Palace,38,45,1.18,55,1.45,81.82,17/18
12,Bournemouth,38,45,1.18,61,1.61,73.77,17/18
13,West Ham,38,48,1.26,68,1.79,70.59,17/18
14,Watford,38,44,1.16,64,1.68,68.75,17/18
15,Brighton,38,34,0.89,54,1.42,62.96,17/18
16,Huddersfield,38,28,0.74,58,1.53,48.28,17/18
17,Southampton,38,37,0.97,56,1.47,66.07,17/18
18,Swansea,38,28,0.74,56,1.47,50,17/18
19,Stoke,38,35,0.92,68,1.79,51.47,17/18
20,West Brom,38,31,0.82,56,1.47,55.36,17/18
1,Chelsea,38,85,2.24,33,0.87,257.58,16/17
2,Tottenham,38,86,2.26,26,0.68,330.77,16/17
3,Man City,38,80,2.11,39,1.03,205.13,16/17
4,Liverpool,38,78,2.05,42,1.11,185.71,16/17
5,Arsenal,38,77,2.03,44,1.16,175,16/17
6,Man United,38,54,1.42,29,0.76,186.21,16/17
7,Everton,38,62,1.63,44,1.16,140.91,16/17
8,Southampton,38,41,1.08,48,1.26,85.42,16/17
9,Bournemouth,38,55,1.45,67,1.76,82.09,16/17
10,West Brom,38,43,1.13,51,1.34,84.31,16/17
11,West Ham,38,47,1.24,64,1.68,73.44,16/17
12,Leicester,38,48,1.26,63,1.66,76.19,16/17
13,Stoke,38,41,1.08,56,1.47,73.21,16/17
14,Crystal Palace,38,50,1.32,63,1.66,79.37,16/17
15,Swansea,38,45,1.18,70,1.84,64.29,16/17
16,Burnley,38,39,1.03,55,1.45,70.91,16/17
17,Watford,38,40,1.05,68,1.79,58.82,16/17
18,Hull,38,37,0.97,80,2.11,46.25,16/17
19,Middlesbrough,38,27,0.71,53,1.39,50.94,16/17
20,Sunderland,38,29,0.76,69,1.82,42.03,16/17
1,Leicester,38,68,1.79,36,0.95,188.89,15/16
2,Arsenal,38,65,1.71,36,0.95,180.56,15/16
3,Tottenham,38,69,1.82,35,0.92,197.14,15/16
4,Man City,38,71,1.87,41,1.08,173.17,15/16
5,Man United,38,49,1.29,35,0.92,140,15/16
6,Southampton,38,59,1.55,41,1.08,143.9,15/16
7,West Ham,38,65,1.71,51,1.34,127.45,15/16
8,Liverpool,38,63,1.66,50,1.32,126,15/16
9,Stoke,38,41,1.08,55,1.45,74.55,15/16
10,Chelsea,38,59,1.55,53,1.39,111.32,15/16
11,Everton,38,59,1.55,55,1.45,107.27,15/16
12,Swansea,38,42,1.11,52,1.37,80.77,15/16
13,Watford,38,40,1.05,50,1.32,80,15/16
14,West Brom,38,34,0.89,48,1.26,70.83,15/16
15,Crystal Palace,38,39,1.03,51,1.34,76.47,15/16
16,Bournemouth,38,45,1.18,67,1.76,67.16,15/16
17,Sunderland,38,48,1.26,62,1.63,77.42,15/16
18,Newcastle,38,44,1.16,65,1.71,67.69,15/16
19,Norwich,38,39,1.03,67,1.76,58.21,15/16
20,Aston Villa,38,27,0.71,76,2,35.53,15/16
1,Chelsea,38,73,1.92,32,0.84,228.13,14/15
2,Man City,38,83,2.18,38,1,218.42,14/15
3,Arsenal,38,71,1.87,36,0.95,197.22,14/15
4,Man United,38,62,1.63,37,0.97,167.57,14/15
5,Tottenham,38,58,1.53,53,1.39,109.43,14/15
6,Liverpool,38,52,1.37,48,1.26,108.33,14/15
7,Southampton,38,54,1.42,33,0.87,163.64,14/15
8,Swansea,38,46,1.21,49,1.29,93.88,14/15
9,Stoke,38,48,1.26,45,1.18,106.67,14/15
10,Crystal Palace,38,47,1.24,51,1.34,92.16,14/15
11,Everton,38,48,1.26,50,1.32,96,14/15
12,West Ham,38,44,1.16,47,1.24,93.62,14/15
13,West Brom,38,38,1,51,1.34,74.51,14/15
14,Leicester,38,46,1.21,55,1.45,83.64,14/15
15,Newcastle,38,40,1.05,63,1.66,63.49,14/15
16,Sunderland,38,31,0.82,53,1.39,58.49,14/15
17,Aston Villa,38,31,0.82,57,1.5,54.39,14/15
18,Hull,38,33,0.87,51,1.34,64.71,14/15
19,Burnley,38,28,0.74,53,1.39,52.83,14/15
20,QPR,38,42,1.11,73,1.92,57.53,14/15
1,Man City,38,102,2.68,37,0.97,275.68,13/14
2,Liverpool,38,101,2.66,50,1.32,202,13/14
3,Chelsea,38,71,1.87,27,0.71,262.96,13/14
4,Arsenal,38,68,1.79,41,1.08,165.85,13/14
5,Everton,38,61,1.61,39,1.03,156.41,13/14
6,Tottenham,38,55,1.45,51,1.34,107.84,13/14
7,Man United,38,64,1.68,43,1.13,148.84,13/14
8,Southampton,38,54,1.42,46,1.21,117.39,13/14
9,Stoke,38,45,1.18,52,1.37,86.54,13/14
10,Newcastle,38,43,1.13,59,1.55,72.88,13/14
11,Crystal Palace,38,33,0.87,48,1.26,68.75,13/14
12,Swansea,38,54,1.42,54,1.42,100,13/14
13,West Ham,38,40,1.05,51,1.34,78.43,13/14
14,Sunderland,38,41,1.08,60,1.58,68.33,13/14
15,Aston Villa,38,39,1.03,61,1.61,63.93,13/14
16,Hull,38,38,1,53,1.39,71.7,13/14
17,West Brom,38,43,1.13,59,1.55,72.88,13/14
18,Norwich,38,28,0.74,62,1.63,45.16,13/14
19,Fulham,38,40,1.05,85,2.24,47.06,13/14
20,Cardiff,38,32,0.84,74,1.95,43.24,13/14
1,Man United,38,86,2.26,43,1.13,200,12/13
2,Man City,38,66,1.74,34,0.89,194.12,12/13
3,Chelsea,38,75,1.97,39,1.03,192.31,12/13
4,Arsenal,38,72,1.89,37,0.97,194.59,12/13
5,Tottenham,38,66,1.74,46,1.21,143.48,12/13
6,Everton,38,55,1.45,40,1.05,137.5,12/13
7,Liverpool,38,71,1.87,43,1.13,165.12,12/13
8,West Brom,38,53,1.39,57,1.5,92.98,12/13
9,Swansea,38,47,1.24,51,1.34,92.16,12/13
10,West Ham,38,45,1.18,53,1.39,84.91,12/13
11,Norwich,38,41,1.08,58,1.53,70.69,12/13
12,Fulham,38,50,1.32,60,1.58,83.33,12/13
13,Stoke,38,34,0.89,45,1.18,75.56,12/13
14,Southampton,38,49,1.29,60,1.58,81.67,12/13
15,Aston Villa,38,47,1.24,69,1.82,68.12,12/13
16,Newcastle,38,45,1.18,68,1.79,66.18,12/13
17,Sunderland,38,41,1.08,54,1.42,75.93,12/13
18,Wigan,38,47,1.24,73,1.92,64.38,12/13
19,Reading,38,43,1.13,73,1.92,58.9,12/13
20,QPR,38,30,0.79,60,1.58,50,12/13
1,Man City,38,93,2.45,29,0.76,320.69,11/12
2,Man United,38,89,2.34,33,0.87,269.7,11/12
3,Arsenal,38,74,1.95,49,1.29,151.02,11/12
4,Tottenham,38,66,1.74,41,1.08,160.98,11/12
5,Newcastle,38,56,1.47,51,1.34,109.8,11/12
6,Chelsea,38,65,1.71,46,1.21,141.3,11/12
7,Everton,38,50,1.32,40,1.05,125,11/12
8,Liverpool,38,47,1.24,40,1.05,117.5,11/12
9,Fulham,38,48,1.26,51,1.34,94.12,11/12
10,West Brom,38,45,1.18,52,1.37,86.54,11/12
11,Swansea,38,44,1.16,51,1.34,86.27,11/12
12,Norwich,38,52,1.37,66,1.74,78.79,11/12
13,Sunderland,38,45,1.18,46,1.21,97.83,11/12
14,Stoke,38,36,0.95,53,1.39,67.92,11/12
15,Wigan,38,42,1.11,62,1.63,67.74,11/12
16,Aston Villa,38,37,0.97,53,1.39,69.81,11/12
17,QPR,38,43,1.13,66,1.74,65.15,11/12
18,Bolton,38,46,1.21,77,2.03,59.74,11/12
19,Blackburn,38,48,1.26,78,2.05,61.54,11/12
20,Wolves,38,40,1.05,82,2.16,48.78,11/12
1,Man United,38,78,2.05,37,0.97,210.81,10/11
2,Chelsea,38,69,1.82,33,0.87,209.09,10/11
3,Man City,38,60,1.58,33,0.87,181.82,10/11
4,Arsenal,38,72,1.89,43,1.13,167.44,10/11
5,Tottenham,38,55,1.45,46,1.21,119.57,10/11
6,Liverpool,38,59,1.55,44,1.16,134.09,10/11
7,Everton,38,51,1.34,45,1.18,113.33,10/11
8,Fulham,38,49,1.29,43,1.13,113.95,10/11
9,Aston Villa,38,48,1.26,59,1.55,81.36,10/11
10,Sunderland,38,45,1.18,56,1.47,80.36,10/11
11,West Brom,38,56,1.47,71,1.87,78.87,10/11
12,Newcastle,38,56,1.47,57,1.5,98.25,10/11
13,Stoke,38,46,1.21,48,1.26,95.83,10/11
14,Bolton,38,52,1.37,56,1.47,92.86,10/11
15,Blackburn,38,46,1.21,59,1.55,77.97,10/11
16,Wigan,38,40,1.05,61,1.61,65.57,10/11
17,Wolves,38,46,1.21,66,1.74,69.7,10/11
18,Birmingham,38,37,0.97,58,1.53,63.79,10/11
19,Blackpool,38,55,1.45,78,2.05,70.51,10/11
20,West Ham,38,43,1.13,70,1.84,61.43,10/11
1,Chelsea,38,103,2.71,32,0.84,321.88,09/10
2,Man United,38,86,2.26,28,0.74,307.14,09/10
3,Arsenal,38,83,2.18,41,1.08,202.44,09/10
4,Tottenham,38,67,1.76,41,1.08,163.41,09/10
5,Man City,38,73,1.92,45,1.18,162.22,09/10
6,Aston Villa,38,52,1.37,39,1.03,133.33,09/10
7,Liverpool,38,61,1.61,35,0.92,174.29,09/10
8,Everton,38,60,1.58,49,1.29,122.45,09/10
9,Birmingham,38,38,1,47,1.24,80.85,09/10
10,Blackburn,38,41,1.08,55,1.45,74.55,09/10
11,Stoke,38,34,0.89,48,1.26,70.83,09/10
12,Fulham,38,39,1.03,46,1.21,84.78,09/10
13,Sunderland,38,48,1.26,56,1.47,85.71,09/10
14,Bolton,38,42,1.11,67,1.76,62.69,09/10
15,Wolves,38,32,0.84,56,1.47,57.14,09/10
16,Wigan,38,37,0.97,79,2.08,46.84,09/10
17,West Ham,38,47,1.24,66,1.74,71.21,09/10
18,Burnley,38,42,1.11,82,2.16,51.22,09/10
19,Hull,38,34,0.89,75,1.97,45.33,09/10
20,Portsmouth,38,34,0.89,66,1.74,51.52,09/10
1,Man United,38,68,1.79,24,0.63,283.33,08/09
2,Liverpool,38,77,2.03,27,0.71,285.19,08/09
3,Chelsea,38,68,1.79,24,0.63,283.33,08/09
4,Arsenal,38,68,1.79,37,0.97,183.78,08/09
5,Everton,38,55,1.45,37,0.97,148.65,08/09
6,Aston Villa,38,54,1.42,48,1.26,112.5,08/09
7,Fulham,38,39,1.03,34,0.89,114.71,08/09
8,Tottenham,38,45,1.18,45,1.18,100,08/09
9,West Ham,38,42,1.11,45,1.18,93.33,08/09
10,Man City,38,58,1.53,50,1.32,116,08/09
11,Wigan,38,34,0.89,45,1.18,75.56,08/09
12,Stoke,38,38,1,55,1.45,69.09,08/09
13,Bolton,38,41,1.08,53,1.39,77.36,08/09
14,Portsmouth,38,38,1,57,1.5,66.67,08/09
15,Blackburn,38,40,1.05,60,1.58,66.67,08/09
16,Sunderland,38,34,0.89,54,1.42,62.96,08/09
17,Hull,38,39,1.03,64,1.68,60.94,08/09
18,Newcastle,38,40,1.05,59,1.55,67.8,08/09
19,Middlesbrough,38,28,0.74,57,1.5,49.12,08/09
20,West Brom,38,36,0.95,67,1.76,53.73,08/09
