Position,Team,Game Played,ShotsFor,ShotsOnTgtFor,GoalsFor,ShotsForPG,OnTgtForPG,GoalsForPG,ShotsAgst,ShotsOnTgtAgst,GoalsAgst,ShotsAgstPG,OnTgtAgstPG,GoalsAgstPG,seasons_rep
1,Man City,38,664,261,106,17.47,6.87,2.79,238,87,27,6.26,2.29,0.71,1718
2,Man United,38,513,181,68,13.5,4.76,1.79,436,146,28,11.47,3.84,0.74,1718
3,Tottenham,38,622,217,74,16.37,5.71,1.95,355,126,36,9.34,3.32,0.95,1718
4,Liverpool,38,640,233,84,16.84,6.13,2.21,282,103,38,7.42,2.71,1,1718
5,Chelsea,38,606,220,62,15.95,5.79,1.63,377,120,38,9.92,3.16,1,1718
6,Arsenal,38,591,233,74,15.55,6.13,1.95,422,148,51,11.11,3.89,1.34,1718
7,Burnley,38,379,127,36,9.97,3.34,0.95,562,164,39,14.79,4.32,1.03,1718
8,Everton,38,360,122,44,9.47,3.21,1.16,542,183,58,14.26,4.82,1.53,1718
9,Leicester,38,422,148,56,11.11,3.89,1.47,490,168,60,12.89,4.42,1.58,1718
10,Newcastle,38,449,150,39,11.82,3.95,1.03,479,157,47,12.61,4.13,1.24,1718
11,Crystal Palace,38,475,151,45,12.5,3.97,1.18,462,176,55,12.16,4.63,1.45,1718
12,Bournemouth,38,466,157,45,12.26,4.13,1.18,548,176,61,14.42,4.63,1.61,1718
13,West Ham,38,373,133,48,9.82,3.5,1.26,561,190,68,14.76,5,1.79,1718
14,Watford,38,440,132,44,11.58,3.47,1.16,413,160,64,10.87,4.21,1.68,1718
15,Brighton,38,383,118,34,10.08,3.11,0.89,555,181,54,14.61,4.76,1.42,1718
16,Huddersfield,38,360,111,28,9.47,2.92,0.74,441,165,58,11.61,4.34,1.53,1718
17,Southampton,38,451,145,37,11.87,3.82,0.97,493,170,56,12.97,4.47,1.47,1718
18,Swansea,38,336,104,28,8.84,2.74,0.74,538,191,56,14.16,5.03,1.47,1718
19,Stoke,38,382,131,35,10.05,3.45,0.92,578,220,68,15.21,5.79,1.79,1718
20,West Brom,38,375,114,31,9.87,3,0.82,515,157,56,13.55,4.13,1.47,1718
1,Chelsea,38,580,204,85,15.26,5.37,2.24,322,105,33,8.47,2.76,0.87,1617
2,Tottenham,38,669,257,86,17.61,6.76,2.26,348,111,26,9.16,2.92,0.68,1617
3,Man City,38,633,217,80,16.66,5.71,2.11,299,106,39,7.87,2.79,1.03,1617
4,Liverpool,38,638,236,78,16.79,6.21,2.05,307,114,42,8.08,3,1.11,1617
5,Arsenal,38,565,200,77,14.87,5.26,2.03,431,167,44,11.34,4.39,1.16,1617
6,Man United,38,589,210,54,15.5,5.53,1.42,358,114,29,9.42,3,0.76,1617
7,Everton,38,498,192,62,13.11,5.05,1.63,445,148,44,11.71,3.89,1.16,1617
8,Southampton,38,548,179,41,14.42,4.71,1.08,436,128,48,11.47,3.37,1.26,1617
9,Bournemouth,38,446,160,55,11.74,4.21,1.45,551,189,67,14.5,4.97,1.76,1617
10,West Brom,38,400,123,43,10.53,3.24,1.13,517,162,51,13.61,4.26,1.34,1617
11,West Ham,38,496,138,47,13.05,3.63,1.24,502,181,64,13.21,4.76,1.68,1617
12,Leicester,38,432,145,48,11.37,3.82,1.26,554,191,63,14.58,5.03,1.66,1617
13,Stoke,38,426,137,41,11.21,3.61,1.08,538,181,56,14.16,4.76,1.47,1617
14,Crystal Palace,38,438,138,50,11.53,3.63,1.32,517,177,63,13.61,4.66,1.66,1617
15,Swansea,38,390,146,45,10.26,3.84,1.18,518,185,70,13.63,4.87,1.84,1617
16,Burnley,38,390,120,39,10.26,3.16,1.03,667,211,55,17.55,5.55,1.45,1617
17,Watford,38,419,144,40,11.03,3.79,1.05,538,189,68,14.16,4.97,1.79,1617
18,Hull,38,396,127,37,10.42,3.34,0.97,618,215,80,16.26,5.66,2.11,1617
19,Middlesbrough,38,349,100,27,9.18,2.63,0.71,548,172,53,14.42,4.53,1.39,1617
20,Sunderland,38,387,121,29,10.18,3.18,0.76,675,248,69,17.76,6.53,1.82,1617
1,Leicester,38,523,181,68,13.76,4.76,1.79,516,143,36,13.58,3.76,0.95,1516
2,Arsenal,38,572,210,65,15.05,5.53,1.71,452,152,36,11.89,4,0.95,1516
3,Tottenham,38,661,250,69,17.39,6.58,1.82,421,121,35,11.08,3.18,0.92,1516
4,Man City,38,612,210,71,16.11,5.53,1.87,336,125,41,8.84,3.29,1.08,1516
5,Man United,38,430,143,49,11.32,3.76,1.29,411,123,35,10.82,3.24,0.92,1516
6,Southampton,38,519,169,59,13.66,4.45,1.55,460,140,41,12.11,3.68,1.08,1516
7,West Ham,38,556,184,65,14.63,4.84,1.71,513,168,51,13.5,4.42,1.34,1516
8,Liverpool,38,629,203,63,16.55,5.34,1.66,397,133,50,10.45,3.5,1.32,1516
9,Stoke,38,418,130,41,11,3.42,1.08,533,177,55,14.03,4.66,1.45,1516
10,Chelsea,38,526,173,59,13.84,4.55,1.55,482,179,53,12.68,4.71,1.39,1516
11,Everton,38,492,175,59,12.95,4.61,1.55,551,185,55,14.5,4.87,1.45,1516
12,Swansea,38,442,136,42,11.63,3.58,1.11,523,169,52,13.76,4.45,1.37,1516
13,Watford,38,445,136,40,11.71,3.58,1.05,499,174,50,13.13,4.58,1.32,1516
14,West Brom,38,384,106,34,10.11,2.79,0.89,547,160,48,14.39,4.21,1.26,1516
15,Crystal Palace,38,466,152,39,12.26,4,1.03,569,172,51,14.97,4.53,1.34,1516
16,Bournemouth,38,463,144,45,12.18,3.79,1.18,436,154,67,11.47,4.05,1.76,1516
17,Sunderland,38,439,143,48,11.55,3.76,1.26,569,218,62,14.97,5.74,1.63,1516
18,Newcastle,38,398,152,44,10.47,4,1.16,554,178,65,14.58,4.68,1.71,1516
19,Norwich,38,416,126,39,10.95,3.32,1.03,490,172,67,12.89,4.53,1.76,1516
20,Aston Villa,38,368,111,27,9.68,2.92,0.71,500,191,76,13.16,5.03,2,1516
1,Chelsea,38,563,210,73,14.82,5.53,1.92,416,124,32,10.95,3.26,0.84,1415
2,Man City,38,668,228,83,17.58,6,2.18,388,129,38,10.21,3.39,1,1415
3,Arsenal,38,612,228,71,16.11,6,1.87,407,130,36,10.71,3.42,0.95,1415
4,Man United,38,509,179,62,13.39,4.71,1.63,379,140,37,9.97,3.68,0.97,1415
5,Tottenham,38,524,172,58,13.79,4.53,1.53,489,172,53,12.87,4.53,1.39,1415
6,Liverpool,38,590,194,52,15.53,5.11,1.37,415,143,48,10.92,3.76,1.26,1415
7,Southampton,38,506,170,54,13.32,4.47,1.42,384,114,33,10.11,3,0.87,1415
8,Swansea,38,422,147,46,11.11,3.87,1.21,552,192,49,14.53,5.05,1.29,1415
9,Stoke,38,501,136,48,13.18,3.58,1.26,454,143,45,11.95,3.76,1.18,1415
10,Crystal Palace,38,438,139,47,11.53,3.66,1.24,525,151,51,13.82,3.97,1.34,1415
11,Everton,38,484,166,48,12.74,4.37,1.26,501,128,50,13.18,3.37,1.32,1415
12,West Ham,38,485,152,44,12.76,4,1.16,589,179,47,15.5,4.71,1.24,1415
13,West Brom,38,411,130,38,10.82,3.42,1,544,186,51,14.32,4.89,1.34,1415
14,Leicester,38,457,137,46,12.03,3.61,1.21,552,173,55,14.53,4.55,1.45,1415
15,Newcastle,38,467,143,40,12.29,3.76,1.05,443,163,63,11.66,4.29,1.66,1415
16,Sunderland,38,404,129,31,10.63,3.39,0.82,624,197,53,16.42,5.18,1.39,1415
17,Aston Villa,38,414,127,31,10.89,3.34,0.82,478,170,57,12.58,4.47,1.5,1415
18,Hull,38,429,131,33,11.29,3.45,0.87,499,157,51,13.13,4.13,1.34,1415
19,Burnley,38,429,125,28,11.29,3.29,0.74,589,187,53,15.5,4.92,1.39,1415
20,QPR,38,533,151,42,14.03,3.97,1.11,618,216,73,16.26,5.68,1.92,1415
1,Man City,38,673,238,102,17.71,6.26,2.68,357,122,37,9.39,3.21,0.97,1314
2,Liverpool,38,650,259,101,17.11,6.82,2.66,475,150,50,12.5,3.95,1.32,1314
3,Chelsea,38,693,228,71,18.24,6,1.87,395,124,27,10.39,3.26,0.71,1314
4,Arsenal,38,524,210,68,13.79,5.53,1.79,449,155,41,11.82,4.08,1.08,1314
5,Everton,38,560,195,61,14.74,5.13,1.61,491,153,39,12.92,4.03,1.03,1314
6,Tottenham,38,584,189,55,15.37,4.97,1.45,423,157,51,11.13,4.13,1.34,1314
7,Man United,38,525,181,64,13.82,4.76,1.68,451,146,43,11.87,3.84,1.13,1314
8,Southampton,38,531,177,54,13.97,4.66,1.42,365,130,46,9.61,3.42,1.21,1314
9,Stoke,38,425,139,45,11.18,3.66,1.18,546,179,52,14.37,4.71,1.37,1314
10,Newcastle,38,579,184,43,15.24,4.84,1.13,483,169,59,12.71,4.45,1.55,1314
11,Crystal Palace,38,414,143,33,10.89,3.76,0.87,526,168,48,13.84,4.42,1.26,1314
12,Swansea,38,494,163,54,13,4.29,1.42,482,153,54,12.68,4.03,1.42,1314
13,West Ham,38,418,119,40,11,3.13,1.05,676,206,51,17.79,5.42,1.34,1314
14,Sunderland,38,490,137,41,12.89,3.61,1.08,635,213,60,16.71,5.61,1.58,1314
15,Aston Villa,38,430,134,39,11.32,3.53,1.03,491,169,61,12.92,4.45,1.61,1314
16,Hull,38,425,129,38,11.18,3.39,1,531,161,53,13.97,4.24,1.39,1314
17,West Brom,38,485,145,43,12.76,3.82,1.13,495,170,59,13.03,4.47,1.55,1314
18,Norwich,38,464,146,28,12.21,3.84,0.74,582,192,62,15.32,5.05,1.63,1314
19,Fulham,38,431,149,40,11.34,3.92,1.05,669,242,85,17.61,6.37,2.24,1314
20,Cardiff,38,419,126,32,11.03,3.32,0.84,692,232,74,18.21,6.11,1.95,1314
1,Man United,38,512,299,86,13.47,7.87,2.26,447,256,43,11.76,6.74,1.13,1213
2,Man City,38,601,352,66,15.82,9.26,1.74,366,189,34,9.63,4.97,0.89,1213
